bookId,id,order,title,kicker,category,thumbnail,cropId,body,method,protagonistNote
"gardening_intro","lettuce","1","レタス","旧世界の葉菜","作物","assets/icons/lettuce.webp","lettuce","旧世界ではもっともありふれた葉物野菜の一つ。結球するもの、葉を広げるものなど品種が多く、短い期間で収穫できるため家庭菜園にも向いていた。","水耕では清潔な水、弱めの養液、強すぎない光で安定しやすい。根元を湿らせ続け、葉が密になりすぎる前に収穫する。","早く育ち、下層市場で読まれやすい。迷ったらレタス。薄利でも回転が速い。"
"gardening_intro","spinach","2","ホウレンソウ","栄養価の高い葉菜","作物","assets/icons/spinach.webp","spinach","鉄分やビタミンを含む葉物として旧世界で親しまれた。寒さに比較的強く、栄養を求める食卓では定番だった。","水耕では養液濃度と根の酸素を意識する。葉が厚くなり始めたら収穫期を見逃さない。","栄養需要が高い日に強い。レタスの単純な上位ではなく、需要を読んで植える作物。"
"gardening_intro","basil","3","バジル","香りの葉","作物","assets/icons/basil.webp","basil","旧世界では料理の香り付けに使われたハーブ。少量でも食卓の印象を変え、保存食や単調な配給に香りを足す。","光を好み、風通しがよいほど香りが立つ。先端を摘むと脇芽が増えやすい。","空腹と栄養の両方が重なる日に評価される。条件が整うまで待つ価値がある。"
"gardening_intro","tomato","4","旧世界トマト","赤い果実野菜","作物","assets/icons/tomato.webp","tomato","旧世界の食卓を象徴する作物の一つ。生でも加熱でも使われ、酸味と甘みで料理の中心になった。","水耕では支柱、光量、養液管理が重要。実をつけるまで時間がかかるが、成功すれば存在感が大きい。","下層にも上層にも売れる共通作物。育成は重いが、販路の広さが魅力。"
"gardening_intro","strawberry","5","イチゴ","小さな赤い果実","作物","assets/icons/strawberry.webp","strawberry","旧世界では甘味と香りを楽しむ果実として人気が高かった。見た目の美しさも価値になりやすい。","水耕では根元の湿りすぎを避け、実に水が触れないようにする。清潔さが品質を左右する。","上層向け。飢えを満たすものではなく、希少性と見た目を売る作物。"
"gardening_intro","melon","6","培養メロン","高級果実","作物","assets/icons/melon.webp","melon","旧世界でも贈答品になるほど高値の品種があった果実。大きな実を作るには時間と空間が必要だった。","水耕では養液、光、温度の乱れが実に出やすい。管理の手間は大きいが見返りも大きい。","富裕層向けの大物。栽培区画と資金に余裕が出てから狙う。"
"gardening_intro","chamomile","7","カモミール","休息の花","作物","assets/icons/chamomile.webp","chamomile","旧世界では香りのよい花を茶や入浴、休息のために使った。穏やかな香りが特徴。","水耕では過湿を避け、花をつける段階で光を安定させる。収穫後の扱いも香りに影響する。","医療区画向け。治療そのものより、眠りや落ち着きを必要とする日に強い。"
"gardening_intro","rosemary","8","ローズマリー","強い香りの低木ハーブ","作物","assets/icons/rosemary.webp","rosemary","旧世界では料理や香料に使われた常緑ハーブ。乾燥に強く、香りが長く残る。","水耕では根腐れに注意する。養液は控えめでも育つが、光と風が足りないと香りが鈍る。","医療・実験区画向け。素材としての用途が読める時に育てたい。"
"gardening_intro","aconite","9","トリカブト","禁制毒草","作物","assets/icons/aconite.webp","aconite","旧世界では美しい花を咲かせる一方、強い毒性で知られた植物。薬にも毒にもなりうる。","水耕で扱うなら隔離と記録が必須。接触、廃液、根の扱いまで別系統にする。","反体制市場向けの危険物。これは野菜ではない。売る相手も、使い道も選ぶ。"
"notebook","shelter","1","地下シェルター","生活圏","世界観","assets/icons/locked.webp","","地上が壊れた後、人々が押し込められた地下の生活圏。空気、水、食糧、移動経路のすべてに管理局の影がある。","","ここでは窓の外を見て天気を知ることができない。代わりに端末の数字を見る。"
"notebook","calorie_company","2","カロリー企業","食糧支配","用語","assets/icons/nutrient.webp","","合成食と栄養ペーストを供給する巨大企業。人々の生存を支えているが、同時に食べる自由を握っている。","","味を奪われると、人は怒る前に考える力を失う。そういう設計なのかもしれない。"
"notebook","control_bureau","3","管理局","監視機構","用語","assets/icons/locked.webp","","シェルターの秩序を守る組織。違法栽培、未登録流通、種子の所持を厳しく取り締まる。","","植物を恐れているのは、食料だからではない。人が自分で増やせるからだ。"
"notebook","mara","4","マーラ","種ブローカー","人物","assets/characters/seed-broker.png","","種や設備の流通に通じるブローカー。危険な取引でも軽口を忘れない。","","彼女の言葉は信用できる。でも、彼女の沈黙はもっと信用した方がいい。"
"notebook","kai","5","カイ","下層市場","人物","assets/characters/market-lower.png","","下層市場の仲買人。安く買うが、必要としている人々へ確実に流す。","","彼の市場に売ると、金額以上のものが動く気がする。"
"notebook","io","6","ドクター・イオ","医療区画","人物","assets/characters/market-medical.png","","医療・実験区画の窓口。治療やケアに使える植物を求めている。","","声は冷静だが、数字だけを見ている人ではない。たぶん。"
"notebook","sera","7","セラ・ヴェイル","上層フィクサー","人物","assets/characters/market-upper.png","","上層富裕市場のフィクサー。希少性、美しさ、話題性を買う。","","彼女が見ているのは食べ物ではなく、食卓に置かれた権力だ。"
"notebook","nagi","8","ナギ","地下補給局","人物","assets/characters/market-rebel.png","","反体制組織の補給線に関わる人物。食糧は単なる商品ではなく、抵抗の燃料でもある。","","この人に売る時、私は商売をしているのか、それとも加担しているのか。"
"notebook","kido","9","キド","不動産ブローカー","人物","assets/characters/property-broker-black.png","","台帳から消えた地下空間を扱う不動産ブローカー。拠点拡張の鍵を握る。","","空間にも履歴がある。彼はその履歴ごと売っている。"
"notebook","support_robot","10","サポートロボット","自動化端末","用語","assets/characters/supportRobot-iso-leftdown.png","","農場作業を肩代わりする小型支援機。OSや設備を増やすことで、できる仕事が広がる。","","見ているだけの機械に見える日もある。だが、見ていてくれるだけで助かる日もある。"