tier,line,saleSuffix
safe_room,キド: 下層の隠し部屋だ。狭いが始めるには十分。, セール品は床抜けに注意しろ。
safe_room,キド: 3×2。快適さはないが目撃者もいない。, セール品は床抜けに注意しろ。
safe_room,キド: PODを詰めろ。広い部屋は実績のあとだ。, セール品は床抜けに注意しろ。
drainage,キド: 天井は低い。水音で物音は消える。, セール品は床抜けに注意しろ。
drainage,キド: 巡回は上を見る。下ならまだ隠せる。, セール品は床抜けに注意しろ。
drainage,キド: 小さく始めるには悪くない穴だ。, セール品は床抜けに注意しろ。
tunnel,キド: 電源は生きている。幅は狭いが使える。, セール品は床抜けに注意しろ。
tunnel,キド: 通路型だ。音を抑えれば長く使える。, セール品は床抜けに注意しろ。
tunnel,キド: 箱は置ける。欲張りすぎるな。, セール品は床抜けに注意しろ。
freight,キド: 搬入口が残っている。重い設備向きだ。, セール品は床抜けに注意しろ。
freight,キド: 広い。危ないのは欲が出ることだ。, セール品は床抜けに注意しろ。
freight,キド: 台帳から消えた企業区画だ。使える。, セール品は床抜けに注意しろ。
station,キド: 路線は死んだが、空間は大きい。, セール品は床抜けに注意しろ。
station,キド: 音は反響に紛れる。大型農場向きだ。, セール品は床抜けに注意しろ。
station,キド: 維持費は重い。回せるなら強い。, セール品は床抜けに注意しろ。